Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435551.978452,10992,1642435551,976610021,,9256.0,8424.0,8568.0,9232.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9880085,10993,1642435551,986301479,,9292.0,8436.0,8532.0,9228.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.997972,10994,1642435551,996195802,,9240.0,8404.0,8528.0,9288.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0075817,10995,1642435552,6232573,,9192.0,8380.0,8524.0,9264.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.018061,10996,1642435552,16249760,,9256.0,8384.0,8540.0,9260.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0280104,10997,1642435552,26191896,,9252.0,8372.0,8524.0,9208.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0381486,10998,1642435552,36223302,,9320.0,8444.0,8524.0,9248.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0478444,10999,1642435552,46214083,,9288.0,8412.0,8556.0,9216.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0574899,11000,1642435552,56213666,,9276.0,8444.0,8552.0,9244.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0686967,11001,1642435552,66227885,,9296.0,8392.0,8532.0,9236.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0775452,11002,1642435552,76173354,,9248.0,8404.0,8556.0,9216.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0880404,11003,1642435552,86200229,,9264.0,8348.0,8568.0,9232.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.0976489,11004,1642435552,96196479,,9272.0,8372.0,8552.0,9192.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.1080487,11005,1642435552,106233354,,9292.0,8424.0,8532.0,9264.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.118639,11006,1642435552,116181218,,9320.0,8404.0,8524.0,9208.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.12855,11007,1642435552,126226635,,9280.0,8388.0,8536.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.1380358,11008,1642435552,136232156,,9304.0,8428.0,8524.0,9204.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.147549,11009,1642435552,146201896,,9316.0,8432.0,8484.0,9172.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.158099,11010,1642435552,156230125,,9276.0,8388.0,8568.0,9180.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.168437,11011,1642435552,166197468,,9240.0,8340.0,8592.0,9160.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.1780279,11012,1642435552,176206323,,9292.0,8384.0,8556.0,9204.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.1876247,11013,1642435552,186185750,,9332.0,8340.0,8512.0,9136.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.1975312,11014,1642435552,196195333,,9320.0,8372.0,8520.0,9172.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.207751,11015,1642435552,206270646,,9360.0,8460.0,8496.0,9180.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.2193754,11016,1642435552,216300646,,9364.0,8424.0,8516.0,9184.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.2274811,11017,1642435552,226198510,,9296.0,8392.0,8508.0,9180.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.23827,11018,1642435552,236193146,,9292.0,8376.0,8552.0,9184.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.2478316,11019,1642435552,246390229,,9292.0,8352.0,8556.0,9188.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.257851,11020,1642435552,256541375,,9240.0,8316.0,8596.0,9248.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.2696497,11021,1642435552,266276062,,9244.0,8324.0,8596.0,9220.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.278489,11022,1642435552,276339500,,9272.0,8324.0,8600.0,9244.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.2883441,11023,1642435552,286537573,,9328.0,8356.0,8520.0,9184.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.2976081,11024,1642435552,296254552,,9380.0,8356.0,8484.0,9140.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3072746,11025,1642435552,306196531,,9316.0,8372.0,8508.0,9200.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3173535,11026,1642435552,316202677,,9320.0,8372.0,8528.0,9148.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3273098,11027,1642435552,326195541,,9280.0,8352.0,8512.0,9196.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3380215,11028,1642435552,336288302,,9320.0,8396.0,8484.0,9172.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3478122,11029,1642435552,346212000,,9356.0,8380.0,8496.0,9188.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3577034,11030,1642435552,356185489,,9348.0,8336.0,8496.0,9164.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3690953,11031,1642435552,367426792,,9300.0,8368.0,8584.0,9200.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3773694,11032,1642435552,376170125,,9304.0,8316.0,8576.0,9232.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.3892868,11033,1642435552,386246635,,9272.0,8244.0,8572.0,9260.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.398065,11034,1642435552,396189968,,9272.0,8264.0,8576.0,9224.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4080102,11035,1642435552,406206166,,9272.0,8320.0,8524.0,9192.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.417721,11036,1642435552,416188718,,9292.0,8336.0,8548.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4276237,11037,1642435552,426185281,,9292.0,8340.0,8564.0,9140.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4375634,11038,1642435552,436225489,,9280.0,8360.0,8532.0,9116.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4481335,11039,1642435552,446769813,,9280.0,8360.0,8588.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4582348,11040,1642435552,456221583,,9300.0,8296.0,8588.0,9148.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4685037,11041,1642435552,466306635,,9292.0,8312.0,8560.0,9156.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4781957,11042,1642435552,476200437,,9284.0,8324.0,8572.0,9160.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4873881,11043,1642435552,486191791,,9320.0,8256.0,8596.0,9136.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.4982755,11044,1642435552,496205333,,9280.0,8308.0,8596.0,9172.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.5081313,11045,1642435552,506247573,,9280.0,8320.0,8608.0,9188.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.518506,11046,1642435552,516166739,,9308.0,8304.0,8632.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.5275826,11047,1642435552,526175385,,9288.0,8308.0,8596.0,9240.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.5379372,11048,1642435552,536197312,,9300.0,8340.0,8560.0,9204.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.5481927,11049,1642435552,546213614,,9320.0,8340.0,8584.0,9196.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.55788,11050,1642435552,556247312,,9308.0,8340.0,8580.0,9248.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.5687482,11051,1642435552,566424083,,9304.0,8316.0,8628.0,9212.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.577501,11052,1642435552,576220437,,9300.0,8360.0,8576.0,9236.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.587766,11053,1642435552,586249968,,9256.0,8336.0,8636.0,9216.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.5986378,11054,1642435552,596547886,,9304.0,8300.0,8652.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6084676,11055,1642435552,606553719,,9280.0,8328.0,8656.0,9196.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6176286,11056,1642435552,616244083,,9280.0,8324.0,8644.0,9188.0,0.0,0.0,"(0.0, 0.0)",False,False
